video_id,start,end,type
P20_04,68,70,repetition_issue
P20_04,69,71,repetition_issue
P20_04,224,226,repetition_issue
P20_04,315,317,repetition_issue
P20_04,316,318,repetition_issue
P20_04,317,319,repetition_issue
P20_04,318,320,repetition_issue
P20_04,319,321,repetition_issue
P20_04,320,322,repetition_issue
P20_04,367,369,repetition_issue
P20_04,368,370,repetition_issue
P20_04,369,371,repetition_issue
P20_04,370,372,repetition_issue
P20_04,371,373,repetition_issue
P22_07,292,294,repetition_issue
P22_07,412,414,repetition_issue
P22_07,413,415,repetition_issue
P22_07,414,416,repetition_issue
P22_16,145,147,repetition_issue
P22_16,160,162,repetition_issue
P22_16,347,349,repetition_issue
P25_101,61,63,repetition_issue
P25_101,62,64,repetition_issue
P25_101,63,65,repetition_issue
P25_101,64,66,repetition_issue
P25_101,65,67,repetition_issue
P25_101,98,100,repetition_issue
P25_107,242,244,repetition_issue
P25_107,243,245,repetition_issue
P25_107,252,254,repetition_issue
P25_107,266,268,repetition_issue
P25_107,351,353,repetition_issue
P25_107,421,423,repetition_issue
P25_107,426,428,repetition_issue
P26_105,161,163,repetition_issue
P26_115,41,43,repetition_issue
P26_115,42,44,repetition_issue
P26_117,74,76,repetition_issue
P26_117,81,83,repetition_issue
P26_117,82,84,repetition_issue
P26_117,83,85,repetition_issue
P26_117,84,86,repetition_issue
P26_117,85,87,repetition_issue
P26_117,86,88,repetition_issue
P26_117,87,89,repetition_issue
P27_101,149,151,repetition_issue
P27_103,400,402,repetition_issue
P28_05,45,47,repetition_issue
P28_05,46,48,repetition_issue
P28_06,97,99,repetition_issue
P28_06,128,130,repetition_issue
P28_06,129,131,repetition_issue
P28_06,130,132,repetition_issue
P28_06,131,133,repetition_issue
P28_103,115,117,repetition_issue
P28_103,116,118,repetition_issue
P28_103,117,119,repetition_issue
P28_103,193,195,repetition_issue
P28_103,194,196,repetition_issue
P29_01,42,44,repetition_issue
P29_01,43,45,repetition_issue
P29_01,48,50,repetition_issue
P29_01,52,54,repetition_issue
P29_01,62,64,repetition_issue
P29_01,63,65,repetition_issue
P29_01,112,114,repetition_issue
P29_01,124,126,repetition_issue
P29_01,125,127,repetition_issue
P29_01,233,235,repetition_issue
P29_01,234,236,repetition_issue
P29_03,119,121,repetition_issue
P29_03,120,122,repetition_issue
P29_03,121,123,repetition_issue
P29_03,122,124,repetition_issue
P29_03,123,125,repetition_issue
P29_03,124,126,repetition_issue
P29_03,505,507,repetition_issue
P29_03,506,508,repetition_issue
P29_03,507,509,repetition_issue
P29_03,508,510,repetition_issue
P29_03,509,511,repetition_issue
P29_03,510,512,repetition_issue
P29_03,511,513,repetition_issue
P30_03,62,64,repetition_issue
P30_03,63,65,repetition_issue
P30_03,64,66,repetition_issue
P30_03,65,67,repetition_issue
P30_03,66,68,repetition_issue
P30_03,67,69,repetition_issue
P30_03,104,106,repetition_issue
P30_03,105,107,repetition_issue
P30_03,106,108,repetition_issue
P30_03,107,109,repetition_issue
P30_03,108,110,repetition_issue
P30_03,112,114,repetition_issue
P30_03,113,115,repetition_issue
P30_03,128,130,repetition_issue
P30_03,129,131,repetition_issue
P30_03,130,132,repetition_issue
P30_05,84,86,repetition_issue
P30_05,85,87,repetition_issue
P30_05,86,88,repetition_issue
P30_05,87,89,repetition_issue
P30_05,88,90,repetition_issue
P30_05,91,93,repetition_issue
P30_05,92,94,repetition_issue
P30_05,93,95,repetition_issue
P30_05,94,96,repetition_issue
P30_05,95,97,repetition_issue
P30_05,96,98,repetition_issue
P30_05,112,114,repetition_issue
P30_05,113,115,repetition_issue
P30_05,114,116,repetition_issue
P30_05,115,117,repetition_issue
P30_05,116,118,repetition_issue
P30_05,117,119,repetition_issue
P30_05,118,120,repetition_issue
P30_05,138,140,repetition_issue
P30_05,139,141,repetition_issue
P30_05,140,142,repetition_issue
P30_05,141,143,repetition_issue
P30_05,142,144,repetition_issue
P30_05,143,145,repetition_issue
P30_05,144,146,repetition_issue
P30_05,145,147,repetition_issue
P30_05,146,148,repetition_issue
P30_05,147,149,repetition_issue
P30_05,177,179,repetition_issue
P30_05,178,180,repetition_issue
P30_05,179,181,repetition_issue
P30_05,180,182,repetition_issue
P30_05,181,183,repetition_issue
P30_05,182,184,repetition_issue
P30_05,183,185,repetition_issue
P30_05,261,263,repetition_issue
P30_05,262,264,repetition_issue
P30_05,263,265,repetition_issue
P30_05,343,345,repetition_issue
P30_05,344,346,repetition_issue
P30_05,477,479,repetition_issue
P30_05,478,480,repetition_issue
P30_05,479,481,repetition_issue
P30_05,480,482,repetition_issue
P30_05,481,483,repetition_issue
P30_05,482,484,repetition_issue
P30_05,483,485,repetition_issue
P30_05,484,486,repetition_issue
P30_05,531,533,repetition_issue
P30_05,532,534,repetition_issue
P30_05,533,535,repetition_issue
P30_05,534,536,repetition_issue
P30_05,535,537,repetition_issue
P30_05,536,538,repetition_issue
P30_05,537,539,repetition_issue
P30_05,561,563,repetition_issue
P30_05,562,564,repetition_issue
P30_05,563,565,repetition_issue
P30_05,569,571,repetition_issue
P30_05,570,572,repetition_issue
P30_05,571,573,repetition_issue
P30_05,572,574,repetition_issue
P30_05,573,575,repetition_issue
P30_05,574,576,repetition_issue
P30_05,578,580,repetition_issue
P30_05,579,581,repetition_issue
P30_05,583,585,repetition_issue
P30_05,587,589,repetition_issue
P30_05,588,590,repetition_issue
P30_05,589,591,repetition_issue
P30_05,590,592,repetition_issue
P30_05,594,596,repetition_issue
P30_05,604,606,repetition_issue
P30_05,605,607,repetition_issue
P30_05,606,608,repetition_issue
P30_05,611,613,repetition_issue
P30_05,612,614,repetition_issue
P30_05,613,615,repetition_issue
P30_05,725,727,repetition_issue
P30_10,13,15,repetition_issue
P30_10,14,16,repetition_issue
P30_10,15,17,repetition_issue
P30_10,16,18,repetition_issue
P30_10,17,19,repetition_issue
P30_10,18,20,repetition_issue
P30_10,19,21,repetition_issue
P30_10,20,22,repetition_issue
P30_10,21,23,repetition_issue
P30_10,22,24,repetition_issue
P30_10,23,25,repetition_issue
P30_10,24,26,repetition_issue
P30_10,46,48,repetition_issue
P30_10,47,49,repetition_issue
P30_10,48,50,repetition_issue
P30_10,49,51,repetition_issue
P30_10,50,52,repetition_issue
P30_10,51,53,repetition_issue
P30_10,52,54,repetition_issue
P30_10,53,55,repetition_issue
P30_10,54,56,repetition_issue
P30_10,55,57,repetition_issue
P30_10,56,58,repetition_issue
P30_10,74,76,repetition_issue
P30_10,75,77,repetition_issue
P35_103,34,36,repetition_issue
P35_103,35,37,repetition_issue
P35_103,36,38,repetition_issue
P35_103,37,39,repetition_issue
P35_103,38,40,repetition_issue
P35_103,39,41,repetition_issue
P35_103,40,42,repetition_issue
P35_103,41,43,repetition_issue
P35_105,122,124,repetition_issue
P35_105,416,418,repetition_issue
P35_105,417,419,repetition_issue
P35_105,418,420,repetition_issue
P35_105,419,421,repetition_issue
P35_105,420,422,repetition_issue
P37_103,1,3,repetition_issue
P37_103,2,4,repetition_issue
P37_103,3,5,repetition_issue
P37_103,8,10,repetition_issue
P37_103,9,11,repetition_issue
P37_103,10,12,repetition_issue
P37_103,15,17,repetition_issue
P37_103,16,18,repetition_issue
P37_103,21,23,repetition_issue
P37_103,22,24,repetition_issue
P37_103,23,25,repetition_issue
P37_103,31,33,repetition_issue
P37_103,41,43,repetition_issue
P37_103,42,44,repetition_issue
P37_103,52,54,repetition_issue
P37_103,53,55,repetition_issue
P37_103,54,56,repetition_issue
P01_01,37,39,oscillation_issue
P01_01,241,243,oscillation_issue
P01_01,295,297,oscillation_issue
P01_106,183,185,oscillation_issue
P01_109,437,439,oscillation_issue
P01_109,439,441,oscillation_issue
P01_109,452,454,oscillation_issue
P01_109,453,455,oscillation_issue
P01_109,698,700,oscillation_issue
P01_109,712,714,oscillation_issue
P01_109,800,802,oscillation_issue
P01_18,415,417,oscillation_issue
P01_18,418,420,oscillation_issue
P01_18,581,583,oscillation_issue
P01_18,640,642,oscillation_issue
P01_19,35,37,oscillation_issue
P01_19,46,48,oscillation_issue
P02_03,97,99,oscillation_issue
P02_03,98,100,oscillation_issue
P02_03,128,130,oscillation_issue
P02_06,124,126,oscillation_issue
P02_09,273,275,oscillation_issue
P02_09,336,338,oscillation_issue
P02_09,337,339,oscillation_issue
P02_109,152,154,oscillation_issue
P02_110,43,45,oscillation_issue
P02_112,156,158,oscillation_issue
