video_id,start_idx,end_idx,action_a,action_b,pattern,duration
P01_09,480,482,put-onto(aubergine),take(aubergine),put-onto(aubergine) ↔ take(aubergine),10.930000000000064
P01_09,511,513,open(drawer),close(drawer),open(drawer) ↔ close(drawer),6.4699999999998
P01_09,516,518,roll(dough),move(tray),roll(dough) ↔ move(tray),7.369999999999891
P01_09,532,534,take(potato),place-onto(potato),take(potato) ↔ place-onto(potato),1.8200000000001637
P01_09,533,535,place-onto(potato),take(potato),place-onto(potato) ↔ take(potato),4.070000000000164
P01_09,536,538,take(onion),spread(onion),take(onion) ↔ spread(onion),8.329999999999927
P01_09,542,544,put-onto(onion),take(onion),put-onto(onion) ↔ take(onion),2.6600000000003092
P01_09,543,545,take(onion),put-onto(onion),take(onion) ↔ put-onto(onion),2.730000000000018
P01_09,544,546,put-onto(onion),take(onion),put-onto(onion) ↔ take(onion),1.8099999999999454
P01_09,558,560,spread(mozzarella),put-down(mozzarella),spread(mozzarella) ↔ put-down(mozzarella),8.270000000000437
P01_09,588,590,roll(dough),take(pin:rolling),roll(dough) ↔ take(pin:rolling),7.5099999999997635
P01_09,594,596,spread(dough),put-onto(dough),spread(dough) ↔ put-onto(dough),16.460000000000036
P01_09,629,631,take(olive),spread-onto(olive),take(olive) ↔ spread-onto(olive),14.260000000000218
P01_09,630,632,spread-onto(olive),take(olive),spread-onto(olive) ↔ take(olive),12.960000000000036
P01_09,634,636,take(olive),spread-onto(olive),take(olive) ↔ spread-onto(olive),3.599999999999909
P01_09,635,637,spread-onto(olive),take(olive),spread-onto(olive) ↔ take(olive),3.8400000000001455
P01_09,636,638,take(olive),spread-onto(olive),take(olive) ↔ spread-onto(olive),3.0400000000004184
P01_09,637,639,spread-onto(olive),take(olive),spread-onto(olive) ↔ take(olive),3.0599999999999454
P01_09,640,642,take(onion),place-onto(onion),take(onion) ↔ place-onto(onion),1.7200000000002547
P01_09,643,645,take(onion),put-onto(onion),take(onion) ↔ put-onto(onion),4.710000000000036
P01_09,753,755,wash(pin:rolling),turn-off(tap),wash(pin:rolling) ↔ turn-off(tap),17.740000000000236
P01_09,771,773,put-down(plate),take(plate),put-down(plate) ↔ take(plate),6.5300000000002
P01_09,782,784,rinse(plate),put-into(plate),rinse(plate) ↔ put-into(plate),8.509999999999764
P01_09,783,785,put-into(plate),rinse(plate),put-into(plate) ↔ rinse(plate),9.980000000000018
P01_09,821,823,wipe(counter),squeeze(cloth),wipe(counter) ↔ squeeze(cloth),13.409999999999854
P01_09,872,874,take(slice:pizza),put-onto(slice:pizza),take(slice:pizza) ↔ put-onto(slice:pizza),10.140000000000327
P01_09,873,875,put-onto(slice:pizza),take(slice:pizza),put-onto(slice:pizza) ↔ take(slice:pizza),10.019999999999982
P01_102,44,46,adjust(tap),take(plate),adjust(tap) ↔ take(plate),2.019999999999996
P01_102,63,65,rinse(wok),take(sponge),rinse(wok) ↔ take(sponge),4.699999999999989
P01_102,72,74,rinse(cloth),wipe(sink),rinse(cloth) ↔ wipe(sink),5.349999999999994
P01_102,73,75,wipe(sink),rinse(cloth),wipe(sink) ↔ rinse(cloth),3.4000000000000057
P01_102,76,78,wipe(sink),rinse(cloth),wipe(sink) ↔ rinse(cloth),2.0500000000000114
P01_102,81,83,rinse(cloth),put-down(sponge),rinse(cloth) ↔ put-down(sponge),2.3100000000000023
P01_102,100,102,wipe(surface),move(glass),wipe(surface) ↔ move(glass),1.6100000000000136
P01_103,20,22,attach-onto(knife),pick-up(knife),attach-onto(knife) ↔ pick-up(knife),1.9199999999999946
P01_103,34,36,put-into(cafetiere),open(cupboard),put-into(cafetiere) ↔ open(cupboard),4.170000000000002
P01_103,78,80,twist-off(cap),pour(milk),twist-off(cap) ↔ pour(milk),6.6299999999999955
P01_104,3,5,fold(towel:tea),put-down(towel:tea),fold(towel:tea) ↔ put-down(towel:tea),4.510000000000002
P01_104,29,31,wash(cup),empty(pot),wash(cup) ↔ empty(pot),10.620000000000005
P01_104,56,58,empty(pot),rinse(pot),empty(pot) ↔ rinse(pot),4.019999999999982
P01_104,69,71,wash(sink),rinse(cloth),wash(sink) ↔ rinse(cloth),1.3700000000000045
P01_104,70,72,rinse(cloth),wash(sink),rinse(cloth) ↔ wash(sink),1.75
P01_104,71,73,wash(sink),rinse(cloth),wash(sink) ↔ rinse(cloth),1.5600000000000023
P01_104,72,74,rinse(cloth),wash(sink),rinse(cloth) ↔ wash(sink),1.3100000000000023
P01_104,74,76,rinse(cloth),wipe(sink),rinse(cloth) ↔ wipe(sink),3.280000000000001
P01_104,80,82,rinse(cloth),wipe(surface),rinse(cloth) ↔ wipe(surface),3.6299999999999955
P01_104,82,84,rinse(cloth),wipe(sink),rinse(cloth) ↔ wipe(sink),2.3499999999999943
P01_105,0,2,pick-up(container),open(cupboard),pick-up(container) ↔ open(cupboard),2.7800000000000002
P01_105,4,6,open(container),put-down(lid),open(container) ↔ put-down(lid),2.0600000000000005
P01_105,5,7,put-down(lid),open(container),put-down(lid) ↔ open(container),2.38
P01_105,15,17,put-into(container),take(lid),put-into(container) ↔ take(lid),6.149999999999999
P01_105,17,19,put-into(container),put-into(lid),put-into(container) ↔ put-into(lid),4.850000000000001
P01_105,21,23,pick-up(lid),put-down(lid),pick-up(lid) ↔ put-down(lid),0.8599999999999994
P01_105,22,24,put-down(lid),pick-up(lid),put-down(lid) ↔ pick-up(lid),1.1600000000000001
P01_105,23,25,pick-up(lid),put-down(lid),pick-up(lid) ↔ put-down(lid),1.370000000000001
P01_105,236,238,move(slice:tofu),dice(tofu),move(slice:tofu) ↔ dice(tofu),7.480000000000018
P01_105,237,239,dice(tofu),move(slice:tofu),dice(tofu) ↔ move(slice:tofu),7.889999999999986
P01_105,249,251,pick-up(choi:pak),put-down(choi:pak),pick-up(choi:pak) ↔ put-down(choi:pak),2.1000000000000227
P01_105,317,319,pick-up(leaf:pak:choi),wash(leaf:pak:choi),pick-up(leaf:pak:choi) ↔ wash(leaf:pak:choi),3.67999999999995
P01_105,323,325,put-down(leaf:pak:choi),wash(leaf:pak:choi),put-down(leaf:pak:choi) ↔ wash(leaf:pak:choi),3.92999999999995
P01_105,350,352,pick-up(leaf:pak:choi),put-down(leaf:pak:choi),pick-up(leaf:pak:choi) ↔ put-down(leaf:pak:choi),1.4700000000000273
P01_105,351,353,put-down(leaf:pak:choi),pick-up(leaf:pak:choi),put-down(leaf:pak:choi) ↔ pick-up(leaf:pak:choi),2.240000000000009
P01_105,548,550,put-down(saucepan),close(cupboard),put-down(saucepan) ↔ close(cupboard),3.7999999999999545
P01_105,659,661,pick-up(noodle),put-down(noodle),pick-up(noodle) ↔ put-down(noodle),6.269999999999982
P01_105,660,662,put-down(noodle),pick-up(noodle),put-down(noodle) ↔ pick-up(noodle),6.0499999999999545
P01_105,707,709,rinse(hand),rinse(spatula),rinse(hand) ↔ rinse(spatula),1.9600000000000364
P01_105,769,771,pour-into(food),spoon(food),pour-into(food) ↔ spoon(food),10.950000000000273
P01_105,770,772,spoon(food),pour-into(food),spoon(food) ↔ pour-into(food),4.320000000000164
P01_105,771,773,pour-into(food),spoon(food),pour-into(food) ↔ spoon(food),5.049999999999727
P01_106,28,30,pour-into(food),spoon(food),pour-into(food) ↔ spoon(food),14.629999999999995
P01_106,29,31,spoon(food),pour-into(food),spoon(food) ↔ pour-into(food),5.349999999999994
P01_106,30,32,pour-into(food),spoon(food),pour-into(food) ↔ spoon(food),7.329999999999998
P01_106,41,43,pour-into(food),scrape(wok),pour-into(food) ↔ scrape(wok),11.680000000000007
P01_106,108,110,rinse(wok),pick-up(sponge),rinse(wok) ↔ pick-up(sponge),1.6999999999999886
P01_106,113,115,rinse(wok),rinse(sponge),rinse(wok) ↔ rinse(sponge),8.25
P01_106,139,141,put-onto(lid),close(container),put-onto(lid) ↔ close(container),2.670000000000016
P01_106,153,155,spray(product:cleaning),pick-up(timer),spray(product:cleaning) ↔ pick-up(timer),5.319999999999993
P01_106,158,160,pick-up(grill:hob),put-down(grill:hob),pick-up(grill:hob) ↔ put-down(grill:hob),3.0300000000000296
P01_106,159,161,put-down(grill:hob),pick-up(grill:hob),put-down(grill:hob) ↔ pick-up(grill:hob),2.5600000000000023
P01_106,172,174,wipe(surface),pick-up(plate),wipe(surface) ↔ pick-up(plate),17.55000000000001
P01_106,177,179,turn-on(tap),rinse(cloth),turn-on(tap) ↔ rinse(cloth),2.1899999999999977
P01_106,183,185,wipe(hob),move(grill:hob),wipe(hob) ↔ move(grill:hob),73.13999999999999
P01_106,197,199,pick-up(grill:hob),put-down(grill:hob),pick-up(grill:hob) ↔ put-down(grill:hob),4.840000000000032
P01_106,198,200,put-down(grill:hob),pick-up(grill:hob),put-down(grill:hob) ↔ pick-up(grill:hob),3.2899999999999636
P01_106,202,204,wipe(surface),lift(grill),wipe(surface) ↔ lift(grill),2.980000000000018
P01_106,208,210,wipe(surface),move-onto(dirt),wipe(surface) ↔ move-onto(dirt),14.399999999999977
P01_106,210,212,wipe(surface),throw(dirt),wipe(surface) ↔ throw(dirt),3.6299999999999955
P01_106,212,214,wipe(surface),put-onto(dirt),wipe(surface) ↔ put-onto(dirt),5.470000000000027
P01_106,214,216,wipe(surface),throw(dirt),wipe(surface) ↔ throw(dirt),4.009999999999991
P01_106,216,218,wipe(surface),pick-up(holder:pot),wipe(surface) ↔ pick-up(holder:pot),2.6900000000000546
P01_106,218,220,wipe(surface),put-down(holder:pot),wipe(surface) ↔ put-down(holder:pot),3.699999999999932
P01_106,220,222,wipe(surface),move-onto(dirt),wipe(surface) ↔ move-onto(dirt),5.550000000000068
P01_108,56,58,rinse(cup),empty(cup),rinse(cup) ↔ empty(cup),5.099999999999994
P01_108,57,59,empty(cup),rinse(cup),empty(cup) ↔ rinse(cup),4.029999999999987
P01_109,43,45,put-down(pan),pick-up(pan),put-down(pan) ↔ pick-up(pan),2.200000000000003
P01_109,71,73,put-down(slice:potato),pick-up(slice:potato),put-down(slice:potato) ↔ pick-up(slice:potato),2.1500000000000057
P01_109,72,74,pick-up(slice:potato),put-down(slice:potato),pick-up(slice:potato) ↔ put-down(slice:potato),3.4799999999999898
P01_109,73,75,put-down(slice:potato),pick-up(slice:potato),put-down(slice:potato) ↔ pick-up(slice:potato),3.9399999999999977
P01_109,74,76,pick-up(slice:potato),put-down(slice:potato),pick-up(slice:potato) ↔ put-down(slice:potato),2.8799999999999955
P01_109,79,81,put-down(slice:potato),pick-up(slice:potato),put-down(slice:potato) ↔ pick-up(slice:potato),1.3499999999999943
P01_109,80,82,pick-up(slice:potato),put-down(slice:potato),pick-up(slice:potato) ↔ put-down(slice:potato),1.3499999999999943
P01_109,81,83,put-down(slice:potato),pick-up(slice:potato),put-down(slice:potato) ↔ pick-up(slice:potato),2.0900000000000034
P01_109,82,84,pick-up(slice:potato),put-down(slice:potato),pick-up(slice:potato) ↔ put-down(slice:potato),3.0
P01_109,83,85,put-down(slice:potato),pick-up(slice:potato),put-down(slice:potato) ↔ pick-up(slice:potato),2.1599999999999966
P01_109,84,86,pick-up(slice:potato),put-down(slice:potato),pick-up(slice:potato) ↔ put-down(slice:potato),1.789999999999992
P01_109,85,87,put-down(slice:potato),pick-up(slice:potato),put-down(slice:potato) ↔ pick-up(slice:potato),1.75
P01_109,110,112,slice(potato),remove-from(bit:potato),slice(potato) ↔ remove-from(bit:potato),4.329999999999984
P01_109,112,114,slice(potato),remove-from(slice:potato),slice(potato) ↔ remove-from(slice:potato),5.330000000000041
P01_109,114,116,slice(potato),remove-from(potato),slice(potato) ↔ remove-from(potato),4.479999999999961
P01_109,118,120,pick-up(slice:potato),put-down(slice:potato),pick-up(slice:potato) ↔ put-down(slice:potato),3.580000000000041
P01_109,119,121,put-down(slice:potato),pick-up(slice:potato),put-down(slice:potato) ↔ pick-up(slice:potato),3.5500000000000114
P01_109,124,126,pick-up(slice:potato),put-down(slice:potato),pick-up(slice:potato) ↔ put-down(slice:potato),1.990000000000009
P01_109,139,141,pick-up(slice:potato),put-down(slice:potato),pick-up(slice:potato) ↔ put-down(slice:potato),1.4499999999999886
P01_109,140,142,put-down(slice:potato),pick-up(slice:potato),put-down(slice:potato) ↔ pick-up(slice:potato),1.7099999999999795
P01_109,141,143,pick-up(slice:potato),put-down(slice:potato),pick-up(slice:potato) ↔ put-down(slice:potato),1.5
P01_109,142,144,put-down(slice:potato),pick-up(slice:potato),put-down(slice:potato) ↔ pick-up(slice:potato),1.1999999999999886
P01_109,143,145,pick-up(slice:potato),put-down(slice:potato),pick-up(slice:potato) ↔ put-down(slice:potato),2.6100000000000136
P01_109,144,146,put-down(slice:potato),pick-up(slice:potato),put-down(slice:potato) ↔ pick-up(slice:potato),2.830000000000041
P01_109,149,151,pick-up(slice:potato),put-down(slice:potato),pick-up(slice:potato) ↔ put-down(slice:potato),3.019999999999982
P01_109,150,152,put-down(slice:potato),pick-up(slice:potato),put-down(slice:potato) ↔ pick-up(slice:potato),4.550000000000011
P01_109,182,184,scoop(salt),sprinkle(salt),scoop(salt) ↔ sprinkle(salt),6.0499999999999545
P01_109,183,185,sprinkle(salt),scoop(salt),sprinkle(salt) ↔ scoop(salt),3.740000000000009
P01_109,184,186,scoop(salt),sprinkle(salt),scoop(salt) ↔ sprinkle(salt),2.8600000000000136
P01_109,185,187,sprinkle(salt),scoop(salt),sprinkle(salt) ↔ scoop(salt),2.57000000000005
P01_109,190,192,move(skin:potato),move(board:cutting),move(skin:potato) ↔ move(board:cutting),1.6399999999999864
P01_109,197,199,gather(skin:potato),move(rest:pot),gather(skin:potato) ↔ move(rest:pot),2.3099999999999454
P01_109,199,201,gather(skin:potato),pick-up(skin:potato),gather(skin:potato) ↔ pick-up(skin:potato),3.7700000000000955
P01_109,207,209,shake(hand),close(bin:food),shake(hand) ↔ close(bin:food),2.2000000000000455
P01_109,241,243,adjust(hob),stir(potato),adjust(hob) ↔ stir(potato),18.600000000000023
P01_109,242,244,stir(potato),adjust(hob),stir(potato) ↔ adjust(hob),18.889999999999986
P01_109,307,309,dice(onion),wipe(knife),dice(onion) ↔ wipe(knife),18.729999999999905
P01_109,345,347,put-down(spatula),pick-up(spatula),put-down(spatula) ↔ pick-up(spatula),3.3899999999998727
P01_109,401,403,scoop(salt),sprinkle(salt),scoop(salt) ↔ sprinkle(salt),2.7000000000000455
P01_109,402,404,sprinkle(salt),scoop(salt),sprinkle(salt) ↔ scoop(salt),1.6699999999998454
P01_109,437,439,stir(potato),tap(spatula),stir(potato) ↔ tap(spatula),25.070000000000164
P01_109,439,441,stir(potato),split(potato),stir(potato) ↔ split(potato),49.819999999999936
P01_109,452,454,split(potato),stir(potato),split(potato) ↔ stir(potato),20.809999999999945
P01_109,453,455,stir(potato),split(potato),stir(potato) ↔ split(potato),69.24000000000001
P01_109,471,473,stir(potato),split(potato),stir(potato) ↔ split(potato),10.0
P01_109,472,474,split(potato),stir(potato),split(potato) ↔ stir(potato),15.240000000000009
P01_109,553,555,stir(food),split(potato),stir(food) ↔ split(potato),14.139999999999873
P01_109,615,617,stir(food),split(potato),stir(food) ↔ split(potato),19.720000000000255
P01_109,617,619,stir(food),tap(spatula),stir(food) ↔ tap(spatula),7.529999999999745
P01_109,633,635,wipe(surface),put-down(glass),wipe(surface) ↔ put-down(glass),4.190000000000055
P01_109,683,685,dry(hand),adjust(hob),dry(hand) ↔ adjust(hob),5.539999999999964
P01_109,698,700,shake(spatula),move-around(spatula),shake(spatula) ↔ move-around(spatula),36.070000000000164
P01_109,712,714,pat-down(omelette),move-around(spatula),pat-down(omelette) ↔ move-around(spatula),23.34999999999991
P01_109,765,767,dry(hand),put-down(cloth),dry(hand) ↔ put-down(cloth),10.489999999999782
P01_109,800,802,wash(pan),empty(pan),wash(pan) ↔ empty(pan),23.580000000000382
P01_109,820,822,wash(pan),empty(pan),wash(pan) ↔ empty(pan),15.6899999999996
P01_109,821,823,empty(pan),wash(pan),empty(pan) ↔ wash(pan),19.140000000000327
P01_109,824,826,rinse(sponge),put-onto(pan),rinse(sponge) ↔ put-onto(pan),1.6299999999996544
P01_109,832,834,wipe(surface),move(glass),wipe(surface) ↔ move(glass),4.7800000000002
P01_109,841,843,throw-into(bit:food),pick-up(bit:food),throw-into(bit:food) ↔ pick-up(bit:food),3.949999999999818
P01_109,887,889,open(cupboard),close(cupboard),open(cupboard) ↔ close(cupboard),2.9200000000000728
P01_109,888,890,close(cupboard),open(cupboard),close(cupboard) ↔ open(cupboard),2.599999999999909
P01_109,910,912,pick-up(beer),put-down(beer),pick-up(beer) ↔ put-down(beer),2.2899999999999636
P01_10,6,8,put-down(pizza),take-out(pizza),put-down(pizza) ↔ take-out(pizza),13.81
P01_10,21,23,take(slice:pizza),put-onto(slice:pizza),take(slice:pizza) ↔ put-onto(slice:pizza),17.64
P01_10,22,24,put-onto(slice:pizza),take(slice:pizza),put-onto(slice:pizza) ↔ take(slice:pizza),16.120000000000005
P01_16,30,32,put-down(fork),put-down(spoon),put-down(fork) ↔ put-down(spoon),2.739999999999995
P01_16,62,64,close(cupboard),take(cup),close(cupboard) ↔ take(cup),2.8400000000000034
P01_17,34,36,put-into(lettuce),open(fridge),put-into(lettuce) ↔ open(fridge),7.759999999999991
P01_17,59,61,put-down(leaf:lettuce),turn-off(tap),put-down(leaf:lettuce) ↔ turn-off(tap),7.989999999999981
P01_17,71,73,pour-into(lettuce),move(container),pour-into(lettuce) ↔ move(container),3.170000000000016
P01_17,72,74,move(container),pour-into(lettuce),move(container) ↔ pour-into(lettuce),15.339999999999975
P01_17,244,246,rinse(colander),take(spoon),rinse(colander) ↔ take(spoon),9.620000000000005
P01_17,257,259,wipe(sink),turn-off(tap),wipe(sink) ↔ turn-off(tap),5.2000000000000455
P01_18,188,190,close(cupboard),take(saucepan),close(cupboard) ↔ take(saucepan),4.060000000000059
P01_18,205,207,take(olive),eat(olive),take(olive) ↔ eat(olive),5.159999999999968
P01_18,250,252,turn-off(tap),turn-on(tap),turn-off(tap) ↔ turn-on(tap),4.9099999999998545
P01_18,254,256,pour-into(water),drink(water),pour-into(water) ↔ drink(water),11.659999999999854
P01_18,255,257,drink(water),pour-into(water),drink(water) ↔ pour-into(water),10.559999999999945
P01_18,275,277,take(container),open(container),take(container) ↔ open(container),13.939999999999827
P01_18,415,417,cut(mushroom),stir(food),cut(mushroom) ↔ stir(food),21.660000000000082
P01_18,416,418,stir(food),cut(mushroom),stir(food) ↔ cut(mushroom),7.670000000000073
P01_18,417,419,cut(mushroom),stir(food),cut(mushroom) ↔ stir(food),9.899999999999864
P01_18,418,420,stir(food),cut(mushroom),stir(food) ↔ cut(mushroom),24.799999999999955
P01_18,433,435,spoon(stock),pour(stock),spoon(stock) ↔ pour(stock),5.370000000000118
P01_18,434,436,pour(stock),spoon(stock),pour(stock) ↔ spoon(stock),6.820000000000164
P01_18,435,437,spoon(stock),pour(stock),spoon(stock) ↔ pour(stock),6.509999999999991
P01_18,528,530,adjust(hob),put-down(spatula),adjust(hob) ↔ put-down(spatula),11.0
P01_18,581,583,stir(food),pat(rice),stir(food) ↔ pat(rice),36.86999999999989
P01_18,591,593,spoon(stock),pour(stock),spoon(stock) ↔ pour(stock),5.679999999999836
P01_18,592,594,pour(stock),spoon(stock),pour(stock) ↔ spoon(stock),6.2800000000002
P01_18,621,623,pour(stock),spoon(stock),pour(stock) ↔ spoon(stock),1.5300000000002
P01_18,640,642,stir(food),turn-off(hob),stir(food) ↔ turn-off(hob),57.11999999999989
P01_18,661,663,spoon(risotto),pour-onto(plate),spoon(risotto) ↔ pour-onto(plate),6.2599999999997635
P01_18,662,664,pour-onto(plate),spoon(risotto),pour-onto(plate) ↔ spoon(risotto),5.869999999999891
P01_18,663,665,spoon(risotto),pour-onto(plate),spoon(risotto) ↔ pour-onto(plate),5.4900000000002365
P01_18,664,666,pour-onto(plate),spoon(risotto),pour-onto(plate) ↔ spoon(risotto),5.450000000000273
P01_18,669,671,spoon(risotto),pour-into(container),spoon(risotto) ↔ pour-into(container),5.050000000000182
P01_18,670,672,pour-into(container),spoon(risotto),pour-into(container) ↔ spoon(risotto),4.460000000000036
P01_18,671,673,spoon(risotto),pour-into(container),spoon(risotto) ↔ pour-into(container),5.170000000000073
P01_18,672,674,pour-into(container),spoon(risotto),pour-into(container) ↔ spoon(risotto),7.130000000000109
P01_19,35,37,wash(saucepan),put-down(saucepan),wash(saucepan) ↔ put-down(saucepan),23.269999999999996
P01_19,46,48,rinse(saucepan),wash(saucepan),rinse(saucepan) ↔ wash(saucepan),23.650000000000006
P01_19,99,101,wipe(counter),squeeze(cloth),wipe(counter) ↔ squeeze(cloth),11.859999999999957
P01_19,106,108,wipe(counter),move(tray),wipe(counter) ↔ move(tray),10.479999999999961
P02_01,11,13,close(cupboard),put(cup),close(cupboard) ↔ put(cup),6.5
P02_01,13,15,close(cupboard),pick(plate),close(cupboard) ↔ pick(plate),4.410000000000004
P02_01,76,78,press(button),wait-for(coffee),press(button) ↔ wait-for(coffee),1.089999999999975
P02_02,19,21,pick-up(knife),wash(knife),pick-up(knife) ↔ wash(knife),2.780000000000001
P02_02,20,22,wash(knife),pick-up(knife),wash(knife) ↔ pick-up(knife),2.8699999999999974
P02_02,23,25,pick-up(spoon),wash(spoon),pick-up(spoon) ↔ wash(spoon),3.3599999999999994
P02_02,24,26,wash(spoon),pick-up(spoon),wash(spoon) ↔ pick-up(spoon),3.8299999999999983
P02_02,28,30,rinse(spoon),put-down(spoon),rinse(spoon) ↔ put-down(spoon),2.519999999999996
P02_02,29,31,put-down(spoon),rinse(spoon),put-down(spoon) ↔ rinse(spoon),1.769999999999996
P02_02,32,34,rinse(knife),put-down(knife),rinse(knife) ↔ put-down(knife),3.200000000000003
P02_02,33,35,put-down(knife),rinse(knife),put-down(knife) ↔ rinse(knife),2.4599999999999937
P02_03,11,13,put(pan),put(lid),put(pan) ↔ put(lid),5.689999999999998
P02_03,74,76,put(towel),pick-up(towel),put(towel) ↔ pick-up(towel),4.349999999999994
P02_03,80,82,open(tupperware),put(plate),open(tupperware) ↔ put(plate),3.6200000000000045
P02_03,97,99,chop(end:onion),peel(onion),chop(end:onion) ↔ peel(onion),25.120000000000005
P02_03,98,100,peel(onion),chop(end:onion),peel(onion) ↔ chop(end:onion),25.149999999999977
P02_03,111,113,fill(kettle),turn-on(tap),fill(kettle) ↔ turn-on(tap),0.4900000000000091
P02_03,128,130,chop(onion),chop(slice:onion),chop(onion) ↔ chop(slice:onion),44.39000000000004
P02_03,241,243,pick-up(board:chopping),chop(onion:few),pick-up(board:chopping) ↔ chop(onion:few),9.18999999999994
P02_03,283,285,put-into(cheese),scoop(cheese:more),put-into(cheese) ↔ scoop(cheese:more),3.1200000000000045
P02_03,313,315,increase(heat),hold(pan),increase(heat) ↔ hold(pan),7.4099999999998545
P02_03,314,316,hold(pan),increase(heat),hold(pan) ↔ increase(heat),6.8599999999999
P02_06,5,7,put(plate),pick-up(plate),put(plate) ↔ pick-up(plate),4.699999999999999
P02_06,32,34,open(drawer),put(spoon),open(drawer) ↔ put(spoon),6.849999999999994
P02_06,57,59,pick-up(knife),wash(knife),pick-up(knife) ↔ wash(knife),3.4700000000000273
P02_06,58,60,wash(knife),pick-up(knife),wash(knife) ↔ pick-up(knife),2.8899999999999864
