pattern,count,routine_name
"('rinse(hand)', 'pick-up(cloth)', 'rinse(cloth)')",12,washing
"('pick-up(bowl)', 'rinse(bowl)', 'put-down(bowl)')",12,washing
"('clean(top:counter)', 'turn-on(tap)', 'rinse(cloth)')",12,washing
"('rinse(hand)', 'turn-off(tap)', 'pick-up(cloth)')",12,washing
"('take(knife)', 'wash(knife)', 'put-down(knife)')",11,washing
"('rinse(cloth)', 'turn-off(tap)', 'wring(cloth)')",11,washing
"('wash(hand)', 'rinse(hand)', 'turn-off(tap)')",11,washing
"('pick-up(mushroom)', 'wash(mushroom)', 'put-down(mushroom)')",11,washing
"('put-down(plate)', 'pick-up(plate)', 'rinse(plate)')",11,washing
"('pick-up(plate)', 'pick-up(plate)', 'put-down(plate)')",11,object_transfer
"('knead(dough)', 'shape(ball:dough)', 'place-on(ball:dough)')",11,folding_shaping
"('pick-up(plate)', 'lather(plate)', 'put-down(plate)')",11,object_transfer
"('put-down(glass)', 'pick-up(glass)', 'rinse(glass)')",11,washing
"('pick-up(piece:tofu)', 'put-in(piece:tofu)', 'move-with(piece:tofu)')",11,object_transfer
"('pick-up(spoon)', 'stir(pasta)', 'put-down(spoon)')",11,stirring
"('pick-up(cloth)', 'turn-on(tap)', 'rinse(cloth)')",11,washing
"('open(cupboard)', 'pick-up(plate)', 'close(cupboard)')",11,container_usage
"('debone(thigh:chicken)', 'debone(thigh:chicken)', 'debone(thigh:chicken)')",11,separating
"('open(drawer)', 'take(knife)', 'close(drawer)')",11,container_usage
"('sweep(floor)', 'sweep(floor)', 'sweep(floor)')",11,other
"('put-down(mushroom)', 'pick-up(mushroom)', 'wash(mushroom)')",11,washing
"('open(cupboard)', 'pick-up(glass)', 'close(cupboard)')",11,container_usage
"('pick-up(slice:potato)', 'put-down(slice:potato)', 'pick-up(slice:potato)')",11,cutting
"('scoop(food)', 'put-in(food)', 'scoop(food)')",11,object_transfer
"('put-down(slice:potato)', 'pick-up(slice:potato)', 'put-down(slice:potato)')",11,cutting
"('put-in(food)', 'scoop(food)', 'put-in(food)')",11,object_transfer
"('open(drawer)', 'pick-up(knife)', 'close(drawer)')",11,container_usage
"('wash(mushroom)', 'put-down(mushroom)', 'pick-up(mushroom)')",11,washing
"('put-in(pie)', 'pick-up(pie)', 'put-in(pie)')",10,object_transfer
"('put(clothes)', 'take(clothes)', 'put(clothes)')",10,object_transfer
"('take(clothes)', 'put(clothes)', 'take(clothes)')",10,object_transfer
"('wash(plate)', 'turn-on(tap)', 'rinse(plate)')",10,washing
"('sharpen(tap)', 'sharpen(tap)', 'sharpen(tap)')",10,operation
"('rinse(plate)', 'turn-off(tap)', 'put(plate)')",10,washing
"('rinse(sponge)', 'turn-off(tap)', 'clean(hob)')",10,washing
"('turn-on(tap)', 'rinse(spoon)', 'turn-off(tap)')",10,washing
"('turn-off(tap)', 'close(kettle)', 'put-down(kettle)')",10,object_transfer
"('pick-up(cloth)', 'rinse(cloth)', 'turn-off(tap)')",10,washing
"('stir(meat)', 'stir(meat)', 'stir(meat)')",10,stirring
"('put-on(nut:pine)', 'put-on(nut:pine)', 'put-on(nut:pine)')",10,object_transfer
"('rinse(sponge)', 'put-down(sponge)', 'rinse(hand)')",10,washing
"('pick-up(plate)', 'put-down(plate)', 'put-down(plate)')",10,object_transfer
"('rinse(cloth)', 'turn-off(tap)', 'wash(sink)')",10,washing
"('pick-up(spoon)', 'stir(sauce)', 'put-down(spoon)')",10,stirring
"('turn-off(tap)', 'clean(hob)', 'turn-on(tap)')",10,cleaning
"('cut(courgette)', 'cut(courgette)', 'cut(courgette)')",10,cutting
"('get(oil)', 'oil(hand)', 'knead(dough)')",10,folding_shaping
"('pour(water)', 'pour(water)', 'pour(water)')",10,pouring
"('dry(hand)', 'put-down(cloth)', 'open(drawer)')",10,drying
"('open(cupboard)', 'take(plate)', 'close(cupboard)')",10,container_usage
"('knead(dough)', 'knead(dough)', 'knead(dough)')",10,folding_shaping
"('pick-up(glass)', 'lather(glass)', 'put-down(glass)')",10,object_transfer
"('pick-up(liquid:washing)', 'pour-onto(liquid:washing)', 'put-down(liquid:washing)')",10,washing
"('pick-up(plate)', 'close(cupboard)', 'put-down(plate)')",10,object_transfer
"('turn-on(tap)', 'fill(kettle)', 'turn-off(tap)')",9,other
"('pick-up(sponge)', 'rinse(sponge)', 'turn-off(tap)')",9,washing
"('sharpen(whetstone)', 'sharpen(whetstone)', 'sharpen(whetstone)')",9,operation
"('open(cupboard)', 'close(cupboard)', 'open(cupboard)')",9,container_usage
"('wash(glass)', 'put-down(glass)', 'pick-up(glass)')",9,washing
"('peel(onion)', 'peel(onion)', 'peel(onion)')",9,peeling
"('open(drawer)', 'take(spoon)', 'close(drawer)')",9,container_usage
"('flip(sausage)', 'flip(sausage)', 'flip(sausage)')",9,flipping
"('shake(hand)', 'dry(hand)', 'put-down(cloth)')",9,drying
"('put-down(olive)', 'put-down(olive)', 'put-down(olive)')",9,object_transfer
"('pick-up(bowl)', 'put-down(bowl)', 'pick-up(bowl)')",9,object_transfer
"('pick-up(pie)', 'put-in(pie)', 'pick-up(pie)')",9,object_transfer
"('flip-over(piece:tofu)', 'flip-over(piece:tofu)', 'flip-over(piece:tofu)')",9,flipping
"('take(spatula)', 'stir(food)', 'stir(food)')",9,stirring
"('flip(aubergine)', 'put-down(fork)', 'take(fork)')",9,flipping
"('slice(tomato)', 'slice(tomato)', 'slice(tomato)')",9,cutting
"('pour(pasta)', 'pour(pasta)', 'pour(pasta)')",9,pouring
"('shape(ball:dough)', 'place-on(ball:dough)', 'squeeze(dough)')",9,folding_shaping
"('pick-up(knife)', 'rinse(knife)', 'put-down(knife)')",9,washing
"('turn-on(tap)', 'pick-up(sponge)', 'rinse(sponge)')",9,washing
"('rinse(knife)', 'put-down(knife)', 'take(fork)')",9,washing
"('pick-up(spoon)', 'stir(onion)', 'put-down(spoon)')",9,stirring
"('take(spoon)', 'mix(curry)', 'put(spoon)')",9,object_transfer
"('put-down(mushroom)', 'slice(mushroom)', 'pick-up(mushroom)')",8,cutting
"('pick-up(mushroom)', 'put-down(mushroom)', 'slice(mushroom)')",8,cutting
"('open(fridge)', 'put-into(container)', 'close(fridge)')",8,container_usage
"('turn-on(tap)', 'rinse(pot)', 'turn-off(tap)')",8,washing
"('slice(mushroom)', 'pick-up(mushroom)', 'put-down(mushroom)')",8,cutting
"('rinse(hand)', 'pick-up(sponge)', 'rinse(sponge)')",8,washing
"('lather(plate)', 'rinse(plate)', 'put-down(plate)')",8,washing
"('squeeze(dough)', 'get(oil)', 'oil(hand)')",8,folding_shaping
"('turn-off(tap)', 'unfold(cloth)', 'put-down(cloth)')",8,folding_shaping
"('put-down(knife)', 'take(fork)', 'lather(fork)')",8,object_transfer
"('pick-up(cutlery)', 'rinse(cutlery)', 'put-down(cutlery)')",8,washing
"('pick-up(knife)', 'wash(knife)', 'put-down(knife)')",8,washing
"('spray(detergent)', 'clean(table)', 'spray(detergent)')",8,cleaning
"('open(cupboard)', 'put-down(degreaser)', 'close(cupboard)')",8,container_usage
"('move-with(piece:tofu)', 'pick-up(piece:tofu)', 'put-in(piece:tofu)')",8,object_transfer
"('pick-up(fork)', 'lather(fork)', 'put-down(fork)')",8,object_transfer
"('pick-up(paper)', 'tear(paper)', 'dry(hand)')",8,drying
"('cut(piece:chocolate)', 'cut(piece:chocolate)', 'cut(piece:chocolate)')",8,cutting
"('put-down(sponge)', 'turn-on(tap)', 'rinse(plate)')",8,washing
"('put-down(rice)', 'pick-up(rice)', 'put-down(rice)')",8,object_transfer
"('pick-up(rice)', 'put-down(rice)', 'pick-up(rice)')",8,object_transfer
"('lather(fork)', 'rinse(fork)', 'put-down(fork)')",8,washing
"('rinse(sponge)', 'lather(sponge)', 'rinse(sponge)')",8,washing
"('pick-up(container)', 'put-down(container)', 'pick-up(container)')",8,object_transfer
"('roll-out(dough)', 'turn-over(dough)', 'roll-out(dough)')",8,folding_shaping
"('cut(pizza)', 'cut(pizza)', 'cut(pizza)')",8,cutting
"('wash(knife)', 'put-down(knife)', 'wash(fork)')",8,washing
"('take(clothes)', 'put-in(clothes)', 'take(clothes)')",8,object_transfer
"('put-in(clothes)', 'take(clothes)', 'put-in(clothes)')",8,object_transfer
"('close(kettle)', 'put-down(kettle)', 'turn-on(kettle)')",8,object_transfer
"('put-down(knife)', 'wash(fork)', 'put-down(fork)')",8,washing
"('put-down(glass)', 'pick-up(glass)', 'drain(glass)')",8,object_transfer
"('remove-from(scale)', 'remove-from(scale)', 'remove-from(scale)')",8,separating
"('pick-up(container)', 'drain(container)', 'put-down(container)')",8,object_transfer
"('fold(cheese)', 'fold(cheese)', 'fold(cheese)')",8,folding_shaping
"('turn(chicken)', 'turn(chicken)', 'turn(chicken)')",8,other
"('pick-up(plate)', 'wash(plate)', 'pick-up(plate)')",8,washing
"('put-down(glass)', 'pick-up(glass)', 'wash(glass)')",8,washing
"('turn-off(tap)', 'pick-up(towel)', 'dry(hand)')",8,drying
"('fill(kettle)', 'turn-off(tap)', 'close(kettle)')",8,other
"('pick-up(kettle)', 'open(kettle)', 'turn-on(tap)')",7,object_transfer
"('pick-up(lid)', 'close(container)', 'pick-up(container)')",7,object_transfer
"('top(carrot:tail)', 'top(carrot:tail)', 'top(carrot:tail)')",7,cutting
"('put-down(glass)', 'wash(glass)', 'put-down(glass)')",7,washing
"('scour(wok)', 'scour(wok)', 'scour(wok)')",7,cleaning
"('wash(spoon)', 'turn-on(tap)', 'rinse(spoon)')",7,washing
"('rinse(knife)', 'lather(knife)', 'rinse(knife)')",7,washing
"('pick-up(knife)', 'rinse(knife)', 'lather(knife)')",7,washing
"('lather(glass)', 'pick-up(glass)', 'lather(glass)')",7,object_transfer
"('wash(glass)', 'put-down(glass)', 'wash(glass)')",7,washing
"('squeeze(lime)', 'squeeze(lime)', 'squeeze(lime)')",7,folding_shaping
"('chop(ginger)', 'chop(ginger)', 'chop(ginger)')",7,chopping
"('sponge(knife)', 'pick-up(knife)', 'sponge(knife)')",7,object_transfer
"('rinse(mug)', 'turn-off(tap)', 'put-down(mug)')",7,washing
"('put-down(sponge)', 'turn-on(tap)', 'rinse(spoon)')",7,washing
"('pick-up(glass)', 'turn-on(tap)', 'rinse(glass)')",7,washing
"('lather(plate)', 'put-down(plate)', 'pick-up(plate)')",7,object_transfer
"('put-down(glass)', 'pick-up(glass)', 'lather(glass)')",7,object_transfer
"('open(drawer)', 'put-down(mat:place)', 'close(drawer)')",7,container_usage
"('flip(burger:tuna)', 'flip(burger:tuna)', 'flip(burger:tuna)')",7,flipping
"('rinse(board:chopping)', 'turn-off(tap)', 'put-in(board:chopping)')",7,washing
"('pick-up(lid)', 'rinse(lid)', 'put-down(lid)')",7,washing
"('cut(olive)', 'put-down(knife)', 'remove(stone:olive)')",7,cutting
"('put(spoon)', 'take(plate)', 'put(plate)')",7,object_transfer
"('pick-up(glass)', 'lather(glass)', 'pick-up(glass)')",7,object_transfer
"('pick-up(spoon)', 'open(lid)', 'stir(pasta)')",7,stirring
"('open(drawer)', 'pick-up(teaspoon)', 'close(drawer)')",7,container_usage
"('put-down(cloth)', 'pick-up(spatula)', 'stir(potato)')",7,stirring
"('rinse(cloth)', 'turn-off(tap)', 'unfold(cloth)')",7,washing
"('slice-into(courgette)', 'slice-into(courgette)', 'slice-into(courgette)')",7,cutting
"('put-down(cloth)', 'turn-on(tap)', 'rinse(hand)')",7,washing
"('open(drawer)', 'pick-up(fork)', 'close(drawer)')",7,container_usage
"('put-in(piece:tofu)', 'move-with(piece:tofu)', 'pick-up(piece:tofu)')",7,object_transfer
"('squeeze(bottle:milk)', 'squeeze(bottle:milk)', 'squeeze(bottle:milk)')",7,folding_shaping
"('take(spoon:wooden)', 'stir(pasta)', 'place-on(spoon:wooden)')",7,stirring
"('throw(peel)', 'pick-up(peel)', 'throw(peel)')",7,peeling
"('put-down(cap:burner)', 'pick-up(cap:burner)', 'wash(cap:burner)')",7,washing
"('scrape(tomato)', 'scrape(tomato)', 'scrape(tomato)')",7,other
"('wash(cap:burner)', 'put-down(cap:burner)', 'pick-up(cap:burner)')",7,washing
"('rinse(cap:burner)', 'put-down(cap:burner)', 'pick-up(cap:burner)')",7,washing
"('flip(meat)', 'flip(meat)', 'flip(meat)')",7,flipping
"('pick-up(fork)', 'pick-up(fork)', 'pick-up(fork)')",7,object_transfer
"('wash(plate)', 'put-down(plate)', 'wash(plate)')",7,washing
"('rinse(cloth)', 'turn-off(tap)', 'put-down(cloth)')",7,washing
"('close(bag)', 'turn-on(tap)', 'rinse(hand)')",7,washing
"('flip(aubergine)', 'flip(aubergine)', 'put-down(fork)')",7,flipping
"('pick-up(salt)', 'pour(salt)', 'take(fork)')",7,pouring
"('open(drawer)', 'pick-up(mat:place)', 'close(drawer)')",7,container_usage
"('wash(saucepan)', 'wash(saucepan)', 'wash(saucepan)')",7,washing
"('wash(pan)', 'wash(pan)', 'wash(pan)')",7,washing
"('pour(oil)', 'close(oil)', 'put-down(oil)')",7,pouring
"('take(mushroom)', 'chop(mushroom)', 'take(mushroom)')",7,chopping
"('drain(glass)', 'put-down(glass)', 'pick-up(glass)')",7,object_transfer
"('dry(hand)', 'put-down(cloth)', 'open(cupboard)')",7,drying
"('chop(chilli)', 'chop(chilli)', 'chop(chilli)')",7,chopping
"('put-down(plate)', 'pick-up(plate)', 'lather(plate)')",7,object_transfer
"('pick-up(sponge)', 'lather(plate)', 'rinse(plate)')",7,washing
"('turn-off(tap)', 'turn-on(tap)', 'turn-off(tap)')",7,other
"('cut(peach)', 'cut(peach)', 'remove(peach)')",7,cutting
"('lather(sponge)', 'rinse(sponge)', 'turn-off(tap)')",7,washing
"('rinse(knife)', 'put-down(knife)', 'turn-off(tap)')",7,washing
"('take(fork)', 'rinse(fork)', 'lather(fork)')",6,washing
"('pick-up(liquid:washing)', 'put(liquid:washing)', 'put-down(liquid:washing)')",6,washing
"('pick-up(pancake:crispy)', 'put-down(pancake:crispy)', 'pick-up(pancake:crispy)')",6,object_transfer
"('put-into(leaf:pak:choi)', 'pick-up(leaf:pak:choi)', 'wash(leaf:pak:choi)')",6,washing
"('pick-up(leaf:pak:choi)', 'put-down(leaf:pak:choi)', 'cut(choi:pak)')",6,cutting
"('open(drawer)', 'pick-up(spatula)', 'close(drawer)')",6,container_usage
"('wash(leaf:pak:choi)', 'put-into(leaf:pak:choi)', 'pick-up(leaf:pak:choi)')",6,washing
"('put(sponge)', 'turn-on(tap)', 'rinse(plate)')",6,washing
"('put(tomato)', 'pick-up(tomato)', 'put(tomato)')",6,object_transfer
"('pick-up(pasta)', 'put-down(pasta)', 'pick-up(pasta)')",6,object_transfer
"('put-down(pasta)', 'pick-up(pasta)', 'put-down(pasta)')",6,object_transfer
"('rinse(knife)', 'put-down(knife)', 'pick-up(knife)')",6,washing
"('pick-up(glass)', 'open(cupboard)', 'put-down(glass)')",6,object_transfer
"('put-down(fork)', 'wash(knife)', 'put-down(knife)')",6,washing
"('wash(fork)', 'put-down(fork)', 'wash(knife)')",6,washing
"('wash(plate)', 'pick-up(plate)', 'wash(plate)')",6,washing
"('put-down(plate)', 'wash(plate)', 'put-down(plate)')",6,washing
"('pick-up(spoon)', 'stir(mushroom)', 'put-down(spoon)')",6,stirring
"('wash(knife)', 'put-down(knife)', 'wash(knife)')",6,washing
"('skin(carrot)', 'skin(carrot)', 'put-in(carrot)')",6,peeling
"('put-down(knife)', 'wash(knife)', 'put-down(knife)')",6,washing
"('take(spoon)', 'spoon(rice)', 'taste(rice)')",6,object_transfer
"('spoon(rice)', 'taste(rice)', 'put-down(spoon)')",6,object_transfer
"('open(fridge)', 'pick-up(milk)', 'close(fridge)')",6,container_usage
"('wash(spoon)', 'rinse(spoon)', 'put-down(spoon)')",6,washing
"('pick-up(plate)', 'wash(plate)', 'turn-on(tap)')",6,washing
"('put-into(clothes)', 'put-into(clothes)', 'put-into(clothes)')",6,object_transfer
"('rinse(fork)', 'lather(fork)', 'rinse(fork)')",6,washing
"('open(drawer)', 'put-down(board:cutting)', 'close(drawer)')",6,cutting
"('pick-up(glass)', 'pick-up(glass)', 'put-down(glass)')",6,object_transfer
"('open(cupboard)', 'put-down(jar)', 'close(cupboard)')",6,container_usage
"('pick-up(spatula)', 'stir(potato)', 'put-down(spatula)')",6,stirring
"('turn-on(tap)', 'fill-up(jug)', 'turn-off(tap)')",6,other
"('cut(lettuce)', 'cut(lettuce)', 'cut(lettuce)')",6,cutting
"('pick-up(glass)', 'put-down(glass)', 'put-down(glass)')",6,object_transfer
"('roll-out(dough)', 'flip-over(dough)', 'roll-out(dough)')",6,flipping
"('cut(paper:greaseproof)', 'cut(paper:greaseproof)', 'cut(paper:greaseproof)')",6,cutting
"('pick-up(spatula)', 'drag-through(spatula)', 'put-down(spatula)')",6,object_transfer
"('wash(knife)', 'turn-on(tap)', 'rinse(knife)')",6,washing
"('take-off(lid)', 'stir(pan)', 'put-on(lid)')",6,stirring
"('put-down(cap:burner)', 'pick-up(cap:burner)', 'rinse(cap:burner)')",6,washing
"('remove(skin)', 'remove(skin)', 'remove(skin)')",6,peeling
"('pick-up(container)', 'pick-up(container)', 'put-down(container)')",6,object_transfer
"('cut(tomato)', 'move(tomato)', 'cut(tomato)')",6,cutting
"('lather(glass)', 'put-down(glass)', 'pick-up(glass)')",6,object_transfer
"('put-down(knife)', 'pick-up(knife)', 'lather(knife)')",6,object_transfer
"('sponge(plate)', 'put-down(sponge)', 'turn-on(tap)')",6,object_transfer
"('put-down(mixture)', 'pick-up(mixture)', 'put-down(mixture)')",6,object_transfer
"('mix(curry)', 'put(spoon)', 'take(plate)')",6,object_transfer
"('pick-up(cap:burner)', 'wash(cap:burner)', 'put-down(cap:burner)')",6,washing
"('pick-up(bottle)', 'pick-up(bottle)', 'put-down(bottle)')",6,object_transfer
"('pick-up(sponge)', 'sponge(plate)', 'put-down(sponge)')",6,object_transfer
"('pick-up(mixture)', 'put-down(mixture)', 'pick-up(mixture)')",6,object_transfer
"('put(bowl)', 'take(bowl)', 'put(bowl)')",6,object_transfer
"('put-on(tray:baking)', 'pick-up(omelette)', 'put-on(tray:baking)')",6,object_transfer
"('put-down(sponge)', 'turn-on(tap)', 'rinse(pan)')",6,washing
"('pick-up(knife)', 'wash(knife)', 'put-in(knife)')",6,washing
"('pick-up(plate)', 'wash(plate)', 'put-in(plate)')",6,washing
"('put-down(sponge)', 'turn-on(tap)', 'rinse(board:chopping)')",6,washing
"('open(oil)', 'pour(oil)', 'close(bottle:oil)')",6,pouring
"('pick-up(oil)', 'open(oil)', 'pour(oil)')",6,pouring
"('open(lid)', 'stir(pasta)', 'close(lid)')",6,stirring
"('put-down(spoon)', 'turn-on(tap)', 'wash(hand)')",6,washing
"('cut(carrot)', 'cut(carrot)', 'cut(carrot)')",6,cutting
"('turn-off(tap)', 'turn-on(tap)', 'wash(hand)')",6,washing
"('tap(egg)', 'crack(egg)', 'put-down(eggshell)')",6,operation
"('open(cupboard)', 'pick-up(bowl)', 'put-down(bowl)')",6,object_transfer
"('turn-on(tap)', 'rinse(cloth)', 'put-down(cloth)')",6,washing
"('trim-into(bean:green)', 'trim-into(bean:green)', 'trim-into(bean:green)')",6,cutting
"('put-down(bowl)', 'pick-up(bowl)', 'put-down(bowl)')",6,object_transfer
"('turn-on(tap)', 'pick-up(cloth)', 'rinse(cloth)')",6,washing
"('put-down(fork)', 'pick-up(knife)', 'lather(knife)')",6,object_transfer
"('move-into(piece:meat)', 'move-into(piece:meat)', 'move-into(piece:meat)')",6,object_transfer
"('lather(fork)', 'put-down(fork)', 'pick-up(knife)')",6,object_transfer
"('lather(knife)', 'put-down(knife)', 'take(fork)')",6,object_transfer
"('pick-up(peel)', 'throw(peel)', 'pick-up(peel)')",6,peeling
"('put-down(fork)', 'pick-up(aubergine)', 'put-down(aubergine)')",6,object_transfer
"('pick-up(aubergine)', 'flip(aubergine)', 'pick-up(aubergine)')",6,flipping
"('take(fork)', 'flip(aubergine)', 'put-down(fork)')",6,flipping
"('pick-up(plate)', 'put-down(plate)', 'open(cupboard)')",6,object_transfer
"('place-on(ball:dough)', 'squeeze(dough)', 'get(oil)')",6,folding_shaping
"('pick-up(knife)', 'sponge(knife)', 'pick-up(knife)')",6,object_transfer
"('pick-up(glass)', 'close(cupboard)', 'put-down(glass)')",6,object_transfer
"('sponge(spoon)', 'pick-up(spoon)', 'sponge(spoon)')",6,object_transfer
"('cut(peach)', 'remove(peach)', 'put-down(peach)')",6,cutting
"('rinse(cloth)', 'clean(sink)', 'rinse(cloth)')",6,washing
"('press-on(spatula)', 'flip(meat)', 'press-on(spatula)')",6,flipping
"('turn-off(tap)', 'pick-up(bowl)', 'put-down(bowl)')",6,object_transfer
"('put-down(plate)', 'put-down(plate)', 'pick-up(plate)')",6,object_transfer
"('press-on(spatula)', 'press-on(spatula)', 'flip(meat)')",6,flipping
"('pick-up(knife)', 'lather(knife)', 'rinse(knife)')",6,washing
"('turn-on(tap)', 'rinse(glass)', 'put-down(glass)')",6,washing
"('stir(pasta)', 'stir(pasta)', 'stir(pasta)')",6,stirring
