pattern,count
"('open(fridge)', 'put-into(container)', 'close(fridge)')",8
"('turn-on(tap)', 'rinse(pot)', 'turn-off(tap)')",8
"('slice(mushroom)', 'pick-up(mushroom)', 'put-down(mushroom)')",8
"('rinse(hand)', 'pick-up(sponge)', 'rinse(sponge)')",8
"('lather(plate)', 'rinse(plate)', 'put-down(plate)')",8
"('squeeze(dough)', 'get(oil)', 'oil(hand)')",8
"('turn-off(tap)', 'unfold(cloth)', 'put-down(cloth)')",8
"('put-down(knife)', 'take(fork)', 'lather(fork)')",8
"('pick-up(cutlery)', 'rinse(cutlery)', 'put-down(cutlery)')",8
"('pick-up(knife)', 'wash(knife)', 'put-down(knife)')",8
"('spray(detergent)', 'clean(table)', 'spray(detergent)')",8
"('open(cupboard)', 'put-down(degreaser)', 'close(cupboard)')",8
"('move-with(piece:tofu)', 'pick-up(piece:tofu)', 'put-in(piece:tofu)')",8
"('pick-up(fork)', 'lather(fork)', 'put-down(fork)')",8
"('pick-up(paper)', 'tear(paper)', 'dry(hand)')",8
"('cut(piece:chocolate)', 'cut(piece:chocolate)', 'cut(piece:chocolate)')",8
"('put-down(sponge)', 'turn-on(tap)', 'rinse(plate)')",8
"('put-down(rice)', 'pick-up(rice)', 'put-down(rice)')",8
"('pick-up(rice)', 'put-down(rice)', 'pick-up(rice)')",8
"('lather(fork)', 'rinse(fork)', 'put-down(fork)')",8
"('rinse(sponge)', 'lather(sponge)', 'rinse(sponge)')",8
"('pick-up(container)', 'put-down(container)', 'pick-up(container)')",8
"('roll-out(dough)', 'turn-over(dough)', 'roll-out(dough)')",8
"('cut(pizza)', 'cut(pizza)', 'cut(pizza)')",8
"('wash(knife)', 'put-down(knife)', 'wash(fork)')",8
"('take(clothes)', 'put-in(clothes)', 'take(clothes)')",8
"('put-in(clothes)', 'take(clothes)', 'put-in(clothes)')",8
"('close(kettle)', 'put-down(kettle)', 'turn-on(kettle)')",8
"('put-down(knife)', 'wash(fork)', 'put-down(fork)')",8
"('put-down(glass)', 'pick-up(glass)', 'drain(glass)')",8
"('remove-from(scale)', 'remove-from(scale)', 'remove-from(scale)')",8
"('pick-up(container)', 'drain(container)', 'put-down(container)')",8
"('fold(cheese)', 'fold(cheese)', 'fold(cheese)')",8
"('turn(chicken)', 'turn(chicken)', 'turn(chicken)')",8
"('pick-up(plate)', 'wash(plate)', 'pick-up(plate)')",8
"('put-down(glass)', 'pick-up(glass)', 'wash(glass)')",8
"('turn-off(tap)', 'pick-up(towel)', 'dry(hand)')",8
"('fill(kettle)', 'turn-off(tap)', 'close(kettle)')",8
"('pick-up(kettle)', 'open(kettle)', 'turn-on(tap)')",7
"('pick-up(lid)', 'close(container)', 'pick-up(container)')",7
"('top(carrot:tail)', 'top(carrot:tail)', 'top(carrot:tail)')",7
"('put-down(glass)', 'wash(glass)', 'put-down(glass)')",7
"('scour(wok)', 'scour(wok)', 'scour(wok)')",7
"('wash(spoon)', 'turn-on(tap)', 'rinse(spoon)')",7
"('rinse(knife)', 'lather(knife)', 'rinse(knife)')",7
"('pick-up(knife)', 'rinse(knife)', 'lather(knife)')",7
"('lather(glass)', 'pick-up(glass)', 'lather(glass)')",7
"('wash(glass)', 'put-down(glass)', 'wash(glass)')",7
"('squeeze(lime)', 'squeeze(lime)', 'squeeze(lime)')",7
"('chop(ginger)', 'chop(ginger)', 'chop(ginger)')",7
"('sponge(knife)', 'pick-up(knife)', 'sponge(knife)')",7
"('rinse(mug)', 'turn-off(tap)', 'put-down(mug)')",7
"('put-down(sponge)', 'turn-on(tap)', 'rinse(spoon)')",7
"('pick-up(glass)', 'turn-on(tap)', 'rinse(glass)')",7
"('lather(plate)', 'put-down(plate)', 'pick-up(plate)')",7
"('put-down(glass)', 'pick-up(glass)', 'lather(glass)')",7
"('open(drawer)', 'put-down(mat:place)', 'close(drawer)')",7
"('flip(burger:tuna)', 'flip(burger:tuna)', 'flip(burger:tuna)')",7
"('rinse(board:chopping)', 'turn-off(tap)', 'put-in(board:chopping)')",7
"('pick-up(lid)', 'rinse(lid)', 'put-down(lid)')",7
"('cut(olive)', 'put-down(knife)', 'remove(stone:olive)')",7
"('put(spoon)', 'take(plate)', 'put(plate)')",7
"('pick-up(glass)', 'lather(glass)', 'pick-up(glass)')",7
"('pick-up(spoon)', 'open(lid)', 'stir(pasta)')",7
"('open(drawer)', 'pick-up(teaspoon)', 'close(drawer)')",7
"('put-down(cloth)', 'pick-up(spatula)', 'stir(potato)')",7
"('rinse(cloth)', 'turn-off(tap)', 'unfold(cloth)')",7
"('slice-into(courgette)', 'slice-into(courgette)', 'slice-into(courgette)')",7
"('put-down(cloth)', 'turn-on(tap)', 'rinse(hand)')",7
"('open(drawer)', 'pick-up(fork)', 'close(drawer)')",7
"('put-in(piece:tofu)', 'move-with(piece:tofu)', 'pick-up(piece:tofu)')",7
"('squeeze(bottle:milk)', 'squeeze(bottle:milk)', 'squeeze(bottle:milk)')",7
"('take(spoon:wooden)', 'stir(pasta)', 'place-on(spoon:wooden)')",7
"('throw(peel)', 'pick-up(peel)', 'throw(peel)')",7
"('put-down(cap:burner)', 'pick-up(cap:burner)', 'wash(cap:burner)')",7
"('scrape(tomato)', 'scrape(tomato)', 'scrape(tomato)')",7
"('wash(cap:burner)', 'put-down(cap:burner)', 'pick-up(cap:burner)')",7
"('rinse(cap:burner)', 'put-down(cap:burner)', 'pick-up(cap:burner)')",7
"('flip(meat)', 'flip(meat)', 'flip(meat)')",7
"('pick-up(fork)', 'pick-up(fork)', 'pick-up(fork)')",7
"('wash(plate)', 'put-down(plate)', 'wash(plate)')",7
"('rinse(cloth)', 'turn-off(tap)', 'put-down(cloth)')",7
"('close(bag)', 'turn-on(tap)', 'rinse(hand)')",7
"('flip(aubergine)', 'flip(aubergine)', 'put-down(fork)')",7
"('pick-up(salt)', 'pour(salt)', 'take(fork)')",7
"('open(drawer)', 'pick-up(mat:place)', 'close(drawer)')",7
"('wash(saucepan)', 'wash(saucepan)', 'wash(saucepan)')",7
"('wash(pan)', 'wash(pan)', 'wash(pan)')",7
"('pour(oil)', 'close(oil)', 'put-down(oil)')",7
"('take(mushroom)', 'chop(mushroom)', 'take(mushroom)')",7
"('drain(glass)', 'put-down(glass)', 'pick-up(glass)')",7
"('dry(hand)', 'put-down(cloth)', 'open(cupboard)')",7
"('chop(chilli)', 'chop(chilli)', 'chop(chilli)')",7
"('put-down(plate)', 'pick-up(plate)', 'lather(plate)')",7
"('pick-up(sponge)', 'lather(plate)', 'rinse(plate)')",7
"('turn-off(tap)', 'turn-on(tap)', 'turn-off(tap)')",7
"('cut(peach)', 'cut(peach)', 'remove(peach)')",7
"('lather(sponge)', 'rinse(sponge)', 'turn-off(tap)')",7
"('rinse(knife)', 'put-down(knife)', 'turn-off(tap)')",7
"('take(fork)', 'rinse(fork)', 'lather(fork)')",6
"('pick-up(liquid:washing)', 'put(liquid:washing)', 'put-down(liquid:washing)')",6
"('pick-up(pancake:crispy)', 'put-down(pancake:crispy)', 'pick-up(pancake:crispy)')",6
"('put-into(leaf:pak:choi)', 'pick-up(leaf:pak:choi)', 'wash(leaf:pak:choi)')",6
"('pick-up(leaf:pak:choi)', 'put-down(leaf:pak:choi)', 'cut(choi:pak)')",6
"('open(drawer)', 'pick-up(spatula)', 'close(drawer)')",6
"('wash(leaf:pak:choi)', 'put-into(leaf:pak:choi)', 'pick-up(leaf:pak:choi)')",6
"('put(sponge)', 'turn-on(tap)', 'rinse(plate)')",6
"('put(tomato)', 'pick-up(tomato)', 'put(tomato)')",6
"('pick-up(pasta)', 'put-down(pasta)', 'pick-up(pasta)')",6
"('put-down(pasta)', 'pick-up(pasta)', 'put-down(pasta)')",6
"('rinse(knife)', 'put-down(knife)', 'pick-up(knife)')",6
"('pick-up(glass)', 'open(cupboard)', 'put-down(glass)')",6
"('put-down(fork)', 'wash(knife)', 'put-down(knife)')",6
"('wash(fork)', 'put-down(fork)', 'wash(knife)')",6
"('wash(plate)', 'pick-up(plate)', 'wash(plate)')",6
"('put-down(plate)', 'wash(plate)', 'put-down(plate)')",6
"('pick-up(spoon)', 'stir(mushroom)', 'put-down(spoon)')",6
"('wash(knife)', 'put-down(knife)', 'wash(knife)')",6
"('skin(carrot)', 'skin(carrot)', 'put-in(carrot)')",6
"('put-down(knife)', 'wash(knife)', 'put-down(knife)')",6
"('take(spoon)', 'spoon(rice)', 'taste(rice)')",6
"('spoon(rice)', 'taste(rice)', 'put-down(spoon)')",6
"('open(fridge)', 'pick-up(milk)', 'close(fridge)')",6
"('wash(spoon)', 'rinse(spoon)', 'put-down(spoon)')",6
"('pick-up(plate)', 'wash(plate)', 'turn-on(tap)')",6
"('put-into(clothes)', 'put-into(clothes)', 'put-into(clothes)')",6
"('rinse(fork)', 'lather(fork)', 'rinse(fork)')",6
"('open(drawer)', 'put-down(board:cutting)', 'close(drawer)')",6
"('pick-up(glass)', 'pick-up(glass)', 'put-down(glass)')",6
"('open(cupboard)', 'put-down(jar)', 'close(cupboard)')",6
"('pick-up(spatula)', 'stir(potato)', 'put-down(spatula)')",6
"('turn-on(tap)', 'fill-up(jug)', 'turn-off(tap)')",6
"('cut(lettuce)', 'cut(lettuce)', 'cut(lettuce)')",6
"('pick-up(glass)', 'put-down(glass)', 'put-down(glass)')",6
"('roll-out(dough)', 'flip-over(dough)', 'roll-out(dough)')",6
"('cut(paper:greaseproof)', 'cut(paper:greaseproof)', 'cut(paper:greaseproof)')",6
"('pick-up(spatula)', 'drag-through(spatula)', 'put-down(spatula)')",6
"('wash(knife)', 'turn-on(tap)', 'rinse(knife)')",6
"('take-off(lid)', 'stir(pan)', 'put-on(lid)')",6
"('put-down(cap:burner)', 'pick-up(cap:burner)', 'rinse(cap:burner)')",6
"('remove(skin)', 'remove(skin)', 'remove(skin)')",6
"('pick-up(container)', 'pick-up(container)', 'put-down(container)')",6
"('cut(tomato)', 'move(tomato)', 'cut(tomato)')",6
"('lather(glass)', 'put-down(glass)', 'pick-up(glass)')",6
"('put-down(knife)', 'pick-up(knife)', 'lather(knife)')",6
"('sponge(plate)', 'put-down(sponge)', 'turn-on(tap)')",6
"('put-down(mixture)', 'pick-up(mixture)', 'put-down(mixture)')",6
"('mix(curry)', 'put(spoon)', 'take(plate)')",6
"('pick-up(cap:burner)', 'wash(cap:burner)', 'put-down(cap:burner)')",6
"('pick-up(bottle)', 'pick-up(bottle)', 'put-down(bottle)')",6
"('pick-up(sponge)', 'sponge(plate)', 'put-down(sponge)')",6
"('pick-up(mixture)', 'put-down(mixture)', 'pick-up(mixture)')",6
"('put(bowl)', 'take(bowl)', 'put(bowl)')",6
"('put-on(tray:baking)', 'pick-up(omelette)', 'put-on(tray:baking)')",6
"('put-down(sponge)', 'turn-on(tap)', 'rinse(pan)')",6
"('pick-up(knife)', 'wash(knife)', 'put-in(knife)')",6
"('pick-up(plate)', 'wash(plate)', 'put-in(plate)')",6
"('put-down(sponge)', 'turn-on(tap)', 'rinse(board:chopping)')",6
"('open(oil)', 'pour(oil)', 'close(bottle:oil)')",6
"('pick-up(oil)', 'open(oil)', 'pour(oil)')",6
"('open(lid)', 'stir(pasta)', 'close(lid)')",6
"('put-down(spoon)', 'turn-on(tap)', 'wash(hand)')",6
"('cut(carrot)', 'cut(carrot)', 'cut(carrot)')",6
"('turn-off(tap)', 'turn-on(tap)', 'wash(hand)')",6
"('tap(egg)', 'crack(egg)', 'put-down(eggshell)')",6
"('open(cupboard)', 'pick-up(bowl)', 'put-down(bowl)')",6
"('turn-on(tap)', 'rinse(cloth)', 'put-down(cloth)')",6
"('trim-into(bean:green)', 'trim-into(bean:green)', 'trim-into(bean:green)')",6
"('put-down(bowl)', 'pick-up(bowl)', 'put-down(bowl)')",6
"('turn-on(tap)', 'pick-up(cloth)', 'rinse(cloth)')",6
"('put-down(fork)', 'pick-up(knife)', 'lather(knife)')",6
"('move-into(piece:meat)', 'move-into(piece:meat)', 'move-into(piece:meat)')",6
"('lather(fork)', 'put-down(fork)', 'pick-up(knife)')",6
"('lather(knife)', 'put-down(knife)', 'take(fork)')",6
"('pick-up(peel)', 'throw(peel)', 'pick-up(peel)')",6
"('put-down(fork)', 'pick-up(aubergine)', 'put-down(aubergine)')",6
"('pick-up(aubergine)', 'flip(aubergine)', 'pick-up(aubergine)')",6
"('take(fork)', 'flip(aubergine)', 'put-down(fork)')",6
"('pick-up(plate)', 'put-down(plate)', 'open(cupboard)')",6
"('place-on(ball:dough)', 'squeeze(dough)', 'get(oil)')",6
"('pick-up(knife)', 'sponge(knife)', 'pick-up(knife)')",6
"('pick-up(glass)', 'close(cupboard)', 'put-down(glass)')",6
"('sponge(spoon)', 'pick-up(spoon)', 'sponge(spoon)')",6
"('cut(peach)', 'remove(peach)', 'put-down(peach)')",6
"('rinse(cloth)', 'clean(sink)', 'rinse(cloth)')",6
"('press-on(spatula)', 'flip(meat)', 'press-on(spatula)')",6
"('turn-off(tap)', 'pick-up(bowl)', 'put-down(bowl)')",6
"('put-down(plate)', 'put-down(plate)', 'pick-up(plate)')",6
"('press-on(spatula)', 'press-on(spatula)', 'flip(meat)')",6
"('pick-up(knife)', 'lather(knife)', 'rinse(knife)')",6
"('turn-on(tap)', 'rinse(glass)', 'put-down(glass)')",6
"('stir(pasta)', 'stir(pasta)', 'stir(pasta)')",6
"('pick-up(mat:place)', 'close(drawer)', 'put-down(mat:place)')",6
"('clean(table)', 'spray(detergent)', 'clean(table)')",6
"('pick-up(plate)', 'put-down(plate)', 'turn-on(tap)')",6
"('stir(meat)', 'press-on(spatula)', 'press-on(spatula)')",6
"('chop(squash)', 'chop(squash)', 'chop(squash)')",6
"('put-into(meat)', 'put-into(meat)', 'put-into(meat)')",6
"('dice(courgette)', 'pick-up(dice:courgette)', 'put-into(dice:courgette)')",6
"('open(drawer)', 'pick-up(board:cutting)', 'put-down(board:cutting)')",6
"('pick-up(sponge)', 'rinse(sponge)', 'put-down(sponge)')",6
"('open(drawer)', 'open(drawer)', 'close(drawer)')",6
"('chop(mushroom)', 'take(mushroom)', 'chop(mushroom)')",6
"('roll(dough)', 'roll(dough)', 'roll(dough)')",6
"('rinse(plate)', 'turn-off(tap)', 'put-down(plate)')",6
"('shred(thigh:chicken)', 'shred(thigh:chicken)', 'shred(thigh:chicken)')",6
"('open(salt)', 'pour(salt)', 'close(salt)')",5
"('take(plate)', 'close(cupboard)', 'put-down(plate)')",5
"('pick-up(dice:courgette)', 'put-into(dice:courgette)', 'move(slice:courgette)')",5
"('pick-up(sponge)', 'scrub(spoon)', 'rinse(spoon)')",5
"('wash(surface:hob)', 'wash(surface:hob)', 'wash(surface:hob)')",5
"('pick-up(meat)', 'put-down(meat)', 'wrap(meat)')",5
"('put-down(meat)', 'wrap(meat)', 'move(meat)')",5
"('cut(film:cling)', 'pick-up(meat)', 'put-down(meat)')",5
"('pick-up(tissue)', 'dry(hand)', 'put-down(napkin)')",5
"('stir(mushroom)', 'adjust(hob)', 'stir(mushroom)')",5
"('adjust(hob)', 'stir(mushroom)', 'put-down(spoon)')",5
"('pour(mushroom)', 'pour(mushroom)', 'pour(mushroom)')",5
"('turn-on(tap)', 'rinse(colander)', 'turn-off(tap)')",5
"('pick-up(spatula)', 'lather(spatula)', 'put-down(spatula)')",5
"('mix(vegetable)', 'mix(vegetable)', 'mix(vegetable)')",5
"('cut(tomato:cherry)', 'put-in(tomato:cherry)', 'cut(tomato:cherry)')",5
"('put-in(tomato:cherry)', 'cut(tomato:cherry)', 'put-in(tomato:cherry)')",5
"('stir(vegetable)', 'put(glove:oven)', 'put(spatula)')",5
"('pick-up(piece:pitta)', 'dip(piece:pitta)', 'eat(piece:pitta)')",5
"('rinse(cloth)', 'clean(sink)', 'turn-off(tap)')",5
"('turn-off(tap)', 'dry(hand)', 'put-down(cloth)')",5
"('close(can:trash)', 'turn-on(tap)', 'rinse(hand)')",5
"('rinse(plate)', 'turn-off(tap)', 'lather(plate)')",5
"('pick-up(pan)', 'put-down(pan)', 'turn-on(tap)')",5
"('put-down(powder)', 'pick-up(powder)', 'put-down(powder)')",5
"('put-down(glass)', 'pick-up(bowl)', 'put-down(bowl)')",5
"('pick-up(spoon)', 'rinse(spoon)', 'put-down(spoon)')",5
"('pick-up(sponge)', 'rinse(sponge)', 'rinse(hand)')",5
"('pick-up(sponge)', 'rinse(sponge)', 'lather(sponge)')",5
"('pick-up(spoon)', 'turn-on(tap)', 'wash(spoon)')",5
